parallel,sequential,x
811.303,3332.09,0
407.387,3465.57,1
205.554,3451.43,2
104.775,3451.33,3
101.883,3449.52,4
102.452,3444.32,5
52.7079,3434.16,6
27.4956,3429.66,7
25.5158,3662.18,8
25.4673,3418.63,9
25.539,3548.12,10
25.6191,3550.41,11
25.9105,3554.5,12
26.772,3546.88,13
27.242,3541.33,14
27.3972,3549.08,15
27.4195,3552.57,16
27.4722,3555.74,17
35.1568,3565.62,18
35.1871,3567.44,19
35.1797,3572.36,20
35.1878,3620.17,21
35.2229,3630.41,22
35.2905,3641.14,23
35.4822,3662.67,24
35.8736,3712.07,25
36.5965,3794.06,26
37.9323,3964.97,27
40.5958,4306.44,28
45.9571,4990.01,29
