parallel,sequential,x
0.0199136,0.0004608,0
0.0161568,0.0003808,1
0.0088256,0.0001984,2
0.0089184,0.0002304,3
0.0089024,0.0004224,4
0.0089248,0.0005312,5
0.0171424,0.0007456,6
0.0188384,0.0014912,7
0.0087776,0.0019584,8
0.0088576,0.0035808,9
0.0088672,0.0119744,10
0.0088864,0.0199072,11
0.0110912,0.0287296,12
0.0133664,0.0645568,13
0.0088832,0.122784,14
0.0084832,0.236858,15
0.0074592,0.462464,16
0.0086752,0.924154,17
0.0166976,1.84485,18
0.02912,3.67022,19
0.0536928,7.27372,20
0.102198,14.6546,21
0.199779,17.0054,22
0.39472,18.8251,23
0.785226,37.5129,24
1.5659,74.9964,25
3.12494,149.955,26
6.24924,300.271,27
12.4983,600.387,28
25.3187,1200.73,29
