parallel,  sequential,x
0.0982816, 0.000448,  0
0.107702,  0.000352,  1
0.104461,  0.0003328, 2
0.103549,  0.000384,  3
0.103738,  0.0003776, 4
0.10056,   0.0005568, 5
0.103085,  0.0007968, 6
0.093552,  0.0013024, 7
0.0935232, 0.002288,  8
0.0981984, 0.0042176, 9
0.0951328, 0.009312,  10
0.0874976, 0.0187584, 11
0.0958368, 0.0315648, 12
0.104323,  0.0690144, 13
0.0891232, 0.13249,   14
0.101686,  0.257629,  15
0.099344,  0.50799,   16
0.51753,   1.00281,   17
0.549322,  2.00329,   18
0.638717,  4.00721,   19
0.802118,  8.0117,    20
1.14849,   16.0304,   21
1.80969,   25.0132,   22
3.11836,   20.8165,   23
5.80988,   41.6123,   24
11.0468,   83.2432,   25
20.9373,   166.637,   26
41.7758,   333.415,   27
83.1677,   666.164,   28
165.918,   1332.38,   29
