parallel,sequential,x
811.303,3332.09,1
407.387,3465.57,2
205.554,3451.43,4
104.775,3451.33,8
101.883,3449.52,16
102.452,3444.32,32
52.7079,3434.16,64
27.4956,3429.66,128
25.5158,3662.18,256
25.4673,3418.63,512
25.539,3548.12,1024
25.6191,3550.41,2048
25.9105,3554.5,4096
26.772,3546.88,8192
27.242,3541.33,16384
27.3972,3549.08,32768
27.4195,3552.57,65536
27.4722,3555.74,131072
35.1568,3565.62,262144
35.1871,3567.44,524288
35.1797,3572.36,1048576
35.1878,3620.17,2097152
35.2229,3630.41,4194304
35.2905,3641.14,8388608
35.4822,3662.67,16777216
35.8736,3712.07,33554432
36.5965,3794.06,67108864
37.9323,3964.97,134217728
40.5958,4306.44,268435456
45.9571,4990.01,536870912
