parallel,sequential,x
0.0199136,0.0004608,1
0.0161568,0.0003808,2
0.0088256,0.0001984,4
0.0089184,0.0002304,8
0.0089024,0.0004224,16
0.0089248,0.0005312,32
0.0171424,0.0007456,64
0.0188384,0.0014912,128
0.0087776,0.0019584,256
0.0088576,0.0035808,512
0.0088672,0.0119744,1024
0.0088864,0.0199072,2048
0.0110912,0.0287296,4096
0.0133664,0.0645568,8192
0.0088832,0.122784,16384
0.0084832,0.236858,32768
0.0074592,0.462464,65536
0.0086752,0.924154,131072
0.0166976,1.84485,262144
0.02912,3.67022,524288
0.0536928,7.27372,1048576
0.102198,14.6546,2097152
0.199779,17.0054,4194304
0.39472,18.8251,8388608
0.785226,37.5129,16777216
1.5659,74.9964,33554432
3.12494,149.955,67108864
6.24924,300.271,134217728
12.4983,600.387,268435456
25.3187,1200.73,536870912
