parallel-shared,parallel-global,sequential,x
0.0996416,0.0982816,0.000448,1
0.0942144,0.107702,0.000352,2
0.093216,0.104461,0.0003328,4
0.0930944,0.103549,0.000384,8
0.09432,0.103738,0.0003776,16
0.0948928,0.10056,0.0005568,32
0.094816,,0.103085,0.0007968,64
0.0825088,0.093552,0.0013024,128
0.0831104,0.0935232,0.002288,256
0.08728,0.0981984,0.0042176,512
0.0852352,0.0951328,0.009312,1024
0.0858688,0.0874976,0.0187584,2048
0.0853696,0.0958368,0.0315648,4096
0.0927456,0.104323,0.0690144,8192
0.0845344,0.0891232,0.13249,16384
0.0863008,0.101686,0.257629,32768
0.0894048,0.099344,0.50799,65536
0.460134,0.51753,1.00281,131072
0.492448,0.549322,2.00329,262144
0.318176,0.638717,4.00721,524288
0.419101,0.802118,8.0117,1048576
0.679395,1.14849,16.0304,2097152
1.1679,1.80969,25.0132,4194304
2.1288,3.11836,20.8165,8388608
4.08437,5.80988,41.6123,16777216
7.94164,11.0468,83.2432,33554432
15.6566,20.9373,166.637,67108864
31.2472,41.7758,333.415,134217728
62.1622,83.1677,666.164,268435456
124.071,165.918,1332.38,536870912
