parallel,sequential,x
0.042928,0.0004064,1
0.0779808,0.0036256,2
0.0823808,0.0002432,4
0.114346,0.000384,8
0.131642,0.0004352,16
0.153725,0.0006176,32
0.170694,0.0008352,64
0.193648,0.0013472,128
0.194298,0.0023072,256
0.227094,0.004352,512
0.248218,0.0087488,1024
0.2684,0.0177216,2048
0.285501,0.0349728,4096
0.307136,0.0706688,8192
0.325699,0.141021,16384
0.342454,0.282067,32768
0.361562,0.565773,65536
0.771382,1.1258,131072
1.02252,2.26196,262144
1.56824,4.42377,524288
2.65395,5.05318,1048576
4.94549,5.80427,2097152
9.74331,11.6214,4194304
19.7478,23.1715,8388608
40.5513,46.2379,16777216
84.1036,92.4462,33554432
175.154,184.014,67108864
364.917,368.217,134217728
758.1,736.16,268435456
1589.77,1472.23,536870912
